Product,Branch,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM498,North,33,Male,16,Partnered,3,3,51165,95
TM498,South,33,Female,16,Partnered,5,3,53439,95
TM498,East,33,Female,18,Single,,4,47754,74
TM498,North,34,Female,16,Partnered,4,3,64809,95
TM498,East,34,Male,16,Partnered,3,4,59124,85
TM498,East,34,Male,15,Single,3,3,67083,85
TM498,South,35,Female,14,Partnered,3,2,52302,53
TM498,West,35,Male,16,Partnered,3,2,53439,53
TM498,North,35,Female,16,Single,,2,50028,64
TM498,South,35,Male,16,Partnered,3,3,53439,95
TM498,West,37,Female,16,Partnered,2,3,48891,85
TM498,East,38,Female,16,Partnered,4,3,62535,85
TM498,North,38,Male,16,Partnered,3,3,59124,106
TM498,North,40,Female,16,Partnered,3,3,61398,85
TM498,South,40,Female,16,Single,3,3,57987,85
TM498,South,40,Male,16,P,3,3,64809,95
TM498,West,45,Male,16,P,2,2,54576,42
TM498,South,48,Male,16,Partnered,2,3,57987,64
TM798,South,22,Male,14,Single,4,3,48658,106
TM798,South,22,Male,16,Single,,5,54781,120
TM798,East,22,Male,18,Single,4,5,48556,200
TM798,North,23,Male,16,Single,4,5,58516,140
TM798,North,23,Female,18,Single,5,4,53536,100
TM798,East,23,Male,16,Single,4,5,48556,100
TM798,West,24,Male,16,Single,4,5,61006,100
TM798,West,24,Male,18,Partnered,4,5,57271,80
TM798,North,24,Female,16,Single,5,5,52291,200
TM798,East,24,Male,16,Single,5,5,49801,160
TM798,West,25,Male,16,Partnered,4,5,49801,120
TM798,South,25,Male,16,Partnered,4,4,62251,160
TM798,North,25,Female,18,Partnered,5,5,61006,200
TM798,East,25,Male,18,Partnered,4,3,64741,100
TM798,North,25,Male,18,Partnered,6,4,70966,180
TM798,East,25,Male,18,Partnered,6,5,75946,240
TM798,West,25,Male,20,Partnered,4,5,74701,170
TM798,East,26,Female,21,Single,4,3,69721,100
TM798,East,26,Male,16,Partnered,5,4,64741,180
TM798,East,27,Male,16,Partnered,4,5,83416,160
TM798,North,27,Male,18,Single,4,3,88396,100
TM798,South,27,Male,21,Partnered,4,4,90886,100
TM798,North,28,Female,18,Partnered,6,5,92131,180
TM798,North,28,Male,18,Partnered,7,5,77191,180
TM798,East,28,Male,18,Single,6,5,88396,150
TM798,East,,Male,18,Single,5,5,52290,180
TM798,West,,Male,14,Partnered,7,5,85906,300
TM798,West,30,Female,16,Partnered,6,5,90886,280
TM798,East,30,Male,18,Partnered,5,4,103336,160
TM798,South,30,Male,18,Partnered,5,5,99601,150
TM798,South,31,Male,16,Partnered,6,5,89641,260
TM798,West,na,na,na,na,na,na,na,na
TM798,North,33,Female,18,Partnered,4,5,95866,200
TM798,West,34,Male,16,Single,5,5,92131,150
TM798,East,35,Male,16,Partnered,4,5,92131,360
TM798,North,38,Male,18,Partnered,5,5,104581,150
TM798,East,40,Male,21,Single,6,5,83416,200
TM798,West,42,Male,18,Single,5,4,89641,200
TM798,East,45,Male,16,S,5,5,90886,160
TM798,North,47,Male,18,Partnered,4,5,104581,120
TM798,South,48,Male,18,P,4,5,95508,180
